ite,time_1,time_2,ans
365,0,3.05E-5,
366,0,2.79E-5,
367,0,3.32E-5,
368,0,2.3E-5,
369,0,1.99E-5,
370,0,1.79E-5,
371,0,1.66E-5,
372,0,1.67E-5,
373,0.001,9.115E-4,
374,0,4.63E-5,
375,0,6.0E-5,
376,0,2.48E-5,
377,0,2.77E-5,
378,0,8.52E-5,
379,0,1.83E-5,
380,0,2.44E-5,
381,0,1.81E-5,
382,0,1.86E-5,
383,0,2.45E-5,
384,0,1.83E-5,
385,0,3.15E-5,
386,0,1.75E-5,
387,0,1.85E-5,
388,0,3.92E-5,
389,0,8.39E-5,
390,0,8.44E-5,
391,0,8.34E-5,
392,0,8.29E-5,
393,0,7.93E-5,
394,0,7.72E-5,
395,0,2.251E-4,
396,0,7.6E-5,
397,0,7.79E-5,
398,0,1.826E-4,
399,0,7.25E-5,
400,0,4.64E-5,
401,0,5.27E-5,
402,0,2.12E-5,
403,0,5.1E-5,
404,0,5.37E-5,
405,0,1.2E-4,
406,0,5.38E-5,
407,0,6.218E-4,
408,0,5.47E-5,
409,0.001,2.17E-5,
410,0,5.36E-5,
411,0,4.52E-5,
412,0,4.73E-5,
413,0,2.49E-5,
414,0,1.79E-5,
415,0,1.73E-5,
416,0,2.41E-5,
417,0,1.75E-5,
418,0,2.37E-5,
419,0,1.66E-5,
420,0.001,2.61E-5,
421,0,4.6E-5,
422,0.001,5.35E-5,
423,0,5.33E-5,
424,0.001,9.449E-4,
425,0,5.33E-5,
426,0,2.78E-5,
427,0,5.72E-5,
428,0,5.05E-5,
429,0,5.36E-5,
430,0,5.31E-5,
431,0,4.26E-5,
432,0,4.17E-5,
433,0,4.23E-5,
434,0,5.22E-5,
435,0,4.28E-5,
436,0,9.23E-5,
437,0,6.49E-5,
438,0,9.44E-5,
439,0,7.63E-5,
440,0,6.345E-4,
441,0,5.3E-5,
442,0.001,6.56E-5,
443,0,1.64E-5,
444,0,1.59E-5,
445,0,5.8E-5,
446,0,5.42E-5,
447,0,5.37E-5,
448,0,6.11E-5,
449,0,5.3E-5,
450,0,4.59E-5,
451,0,3.29E-5,
452,0,2.17E-5,
453,0,2.76E-5,
454,0,9.01E-5,
455,0,2.248E-4,
456,0,5.04E-5,
457,0,5.15E-5,
458,0,4.7E-5,
459,0,4.39E-5,
460,0,4.41E-5,
461,0.001,6.08E-5,
462,0,4.38E-5,
463,0,2.69E-5,
464,0,2.71E-5,
465,0,2.29E-5,
466,0,5.41E-5,
467,0,4.26E-5,
468,0,5.76E-5,
469,0,5.34E-5,
